publication_title;doi;data received from unpaywall;no paywall;pdf url
Trust and discourse;https://doi.org/10.1075/daps.57;yes;FAUX;
The challenge of measuring hunger through survey;https://doi.org/10.1086/686670;yes;FAUX;
Finite difference approximation of hedging quantities in the Heston model;https://doi.org/10.1063/1.4756109;no;FAUX;
Mind-sets of boundaryless careers in the public sector;https://doi.org/10.1177/0091026014528479;yes;FAUX;
Assessing indicators of currency crisis in Ethiopia;https://doi.org/10.1111/1467-8268.12149;no;FAUX;
QoE-driven rate adaptation heuristic for fair Adaptive Video Streaming;https://doi.org/10.1145/2818362;yes;FAUX;
Diaspora organizations, imagined communities and the versatility of diaspora;https://doi.org/10.1177/1367549414557803;yes;FAUX;
Sexual harassment;https://doi.org/10.1111/1467-8500.12207;yes;FAUX;
Hybridity and the news;https://doi.org/10.1177/1464884916657520;no;FAUX;
Japan and international refugee protection norms;https://doi.org/10.1177/0117196815606852;yes;FAUX;
The impact of multinational enterprises (MNEs) on knowledge-intensive business services (KIBS) start-ups;https://doi.org/10.1080/00343404.2014.932906;yes;VRAI;
Current-induced birefringent absorption and non-reciprocal plasmons in graphene;https://doi.org/10.1088/2053-1583/3/1/015012;yes;VRAI;http://pdfs.semanticscholar.org/8451/ced4125f72af3c65fd062fb19fc7e65503ea.pdf
Real-time intraoperative optical coherence tomography imaging confirms older concepts about the Berger space;https://doi.org/10.1159/000446243;yes;FAUX;
Ab-initio study of the segregation and electronic properties of neutral and charged B and P dopants in Si and  nanowires;https://doi.org/10.1063/1.4930049;yes;FAUX;
Sharing the silver screen;https://doi.org/10.1177/0974927615586932;yes;VRAI;https://aip.scitation.org/doi/pdf/10.1063/1.3295432
The influence of socio-economic status on mothers' volubility and responsiveness in a monolingual Dutch-speaking sample;https://doi.org/10.1177/0142723716639502;yes;FAUX;
Separation of modeling principles and design principles in enterprise engineering;https://doi.org/10.1007/978-3-319-48393-1_29;yes;VRAI;https://aip.scitation.org/doi/pdf/10.1063/1.3295551
Practical tools for implementing early palliative care in advanced lung cancer;https://doi.org/10.1183/13993003.00382-2016;yes;FAUX;
Singular and totally singular unitary spaces;https://doi.org/10.1080/00927872.2014.967354;yes;VRAI;https://repository.uantwerpen.be/docman/irua/aaab98/89652.pdf
Defining a standard set of patient-centred outcomes for lung cancer;https://doi.org/10.1183/13993003.02049-2016;yes;FAUX;
The importance of realistic dispersal models in conservation planning;https://doi.org/10.1111/1365-2664.12644;yes;FAUX;
Regioselective versatility of monooxygenase reactions catalyzed by CYP2B6 and CYP3A4;https://doi.org/10.1007/978-3-319-16009-2_6;yes;VRAI;http://pdfs.semanticscholar.org/aa73/096f5428e7c8d1bbe51ed7470275fdad0d38.pdf
Fast bias field reduction by localized Lloyd-Max quantization;https://doi.org/10.1117/12.770725;yes;FAUX;
L̦wdin correlation energy density of the inhomogeneous electron liquid in some closed-shell molecules at equilibrium geometry;https://doi.org/10.1080/00319100701790069;no;FAUX;
Globalization and variants of local adaptation;https://doi.org/10.1177/0268580916662384;yes;FAUX;
X-ray scattering factor of the inhomogeneous electron liquid in the ground state of the Ne atom: contribution of the exchange-correlation potential;https://doi.org/10.1080/00319100802239479;yes;FAUX;
Seeing through the window: pre-fetching strategies for out-of-core image processing algorithms;https://doi.org/10.1117/12.769424;no;FAUX;
Flexible network reconstruction from relational databases with Cytoscape and CytoSQL;https://doi.org/10.1186/1471-2105-11-361;yes;FAUX;
It's all about economics!;https://doi.org/10.1080/03088831003700553;no;FAUX;
Band structure, density of states, and transmission in graphene bilayer superlattices;https://doi.org/10.1063/1.3295551;no;FAUX;
Flexible estimation of serial correlation in nonlinear mixed models;https://doi.org/10.1080/02664760902914425;yes;VRAI;https://documentserver.uhasselt.be//bitstream/1942/11050/1/serial15%5b1%5d.pdf
Modified atomic scattering amplitudes and size effects on the 002 and 220 electron structure factors of multiple  quantum wells;https://doi.org/10.1063/1.3115408;no;VRAI;https://documentserver.uhasselt.be//bitstream/1942/11050/1/serial15%5b1%5d.pdf
Algorithm 895: a continued fractions package for special functions;https://doi.org/10.1145/1527286.1527290;no;VRAI;https://documentserver.uhasselt.be//bitstream/1942/11050/1/serial15%5b1%5d.pdf
Oral health screening;https://doi.org/10.1111/idj.12221;yes;FAUX;
Le th̢̩tre du r̩el: une nouvelle vague flamande entre fiction et non-fiction;https://doi.org/10.7202/1038325ar;no;FAUX;
Melamineformaldehyde microcapsules;https://doi.org/10.1017/s1431927616012484;no;FAUX;
Oscillatory persistent currents in quantum rings: semiconductors versus superconductors;https://doi.org/10.1016/j.physc.2010.02.037;yes;FAUX;
The endovascular treatment of epistaxis;https://doi.org/10.5334/jbr-btr.955;yes;FAUX;
Negative magnetoresistance in a  mixed valent vanadate;https://doi.org/10.1063/1.3446892;no;FAUX;
Ballistic current in metal-oxide-semiconductor field-effect transistors: the role of device topology;https://doi.org/10.1063/1.3197635;yes;FAUX;
Revealing age-specific past and future unrelated costs of pneumococcal infections by flexible generalized estimating equations;https://doi.org/10.1080/02664763.2010.515303;yes;VRAI;https://curis.ku.dk/ws/files/41824362/JDEff_2010_IE_and_CC.pdf
Impact evaluation and interventions to address climate change: a scoping study;https://doi.org/10.1080/19439341003786729;yes;VRAI;http://europepmc.org/articles/pmc3171645?pdf=render
Angular confinement and direction-dependent transmission in graphene nanostructures with magnetic barriers;https://doi.org/10.1063/1.3295453;yes;FAUX;
Phonon band structures of Si nanowires;https://doi.org/10.1063/1.3295432;yes;VRAI;http://arxiv.org/pdf/1604.00420
Designing a decision support model for the LNG market;https://doi.org/10.1080/03081060.2010.527184;yes;FAUX;
A study of a positive fragment of path queries: expressiveness, normal form, and minimization;https://doi.org/10.1007/978-3-642-02843-4_15;yes;FAUX;
New challenges for urban social work and urban social work research;https://doi.org/10.1080/13691457.2010.516621;yes;FAUX;
Evaluation as learning;https://doi.org/10.1080/13691457.2010.520411;yes;FAUX;
Modularity in enterprise architecture projects;https://doi.org/10.1007/978-3-642-21058-8;yes;FAUX;
A maximum likelihood estimation method for denoising magnitude MRI using restricted local neighborhood;https://doi.org/10.1117/12.877851;yes;FAUX;
The labour market consequences of globalisation and regionalisation;https://doi.org/10.1108/01437721111136741;yes;FAUX;
Exchange energy density definitions from the optimized exchange-force, exemplified for non-relativistic Ne- and Ar-like atomic ions in the limit of large nuclear charge;https://doi.org/10.1007/s10910-010-9741-z;yes;VRAI;http://arxiv.org/pdf/0912.1717
Potential of an **in vitro** toolbox combined with exposure data as a first step for the risk assessment of dietary chemical contaminants;https://doi.org/10.1080/19440049.2011.584070;yes;VRAI;https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.12644
Participatory planning for project sustainability of environmental education projects;https://doi.org/10.1080/13504622.2011.557499;yes;FAUX;
Polynomial invariants for general higher spin Dirac operators;https://doi.org/10.1063/1.3498060;yes;FAUX;
Inelastic electron tunneling spectroscopy of  gate stacks;https://doi.org/10.1063/1.3644158;yes;VRAI;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/idj.12221
Youth development and training after the Bosman Verdict (1995) and the Bernard Case (2010) of the European Court of Justice;https://doi.org/10.1080/16184742.2011.624112;yes;FAUX;
Space charge limited electron emission from a Cu surface under ultrashort pulsed laser irradiation;https://doi.org/10.1063/1.3507130;yes;FAUX;
Three-dimensional glenohumeral arthrokinematics related to internal impingement in throwing athletes;https://doi.org/10.1080/17461391003770509;yes;FAUX;
Walter Benjamin's dialectics of attentiveness;https://doi.org/10.1080/00397709.2011.552848;no;FAUX;
Branch current behavior at two level anti-crossings in vertical quantum dot single-particle spectra;https://doi.org/10.1063/1.3295405;yes;FAUX;
Relative information completeness;https://doi.org/10.1145/1559795.1559812;yes;FAUX;
Algebraic structures for capturing the provenance of SPARQL queries;https://doi.org/10.1145/2448496.2448517;yes;FAUX;
On the influence of maintenance activity types on the issue resolution time;https://doi.org/10.1145/2639490.2639507;no;FAUX;
Determining the currency of data;https://doi.org/10.1145/1989284.1989296;yes;VRAI;https://dl.acm.org/doi/pdf/10.1145/1938551.1938560
Slidecast Yourself: Exploring the Possibilities of a New Online Presentation Tool;https://doi.org/10.1109/ipcc.2010.5530022;no;VRAI;https://dl.acm.org/doi/pdf/10.1145/1938551.1938560
Towards efficient service placement and server selection for large-scale deployments;https://doi.org/10.1109/aict.2008.47;no;VRAI;https://dl.acm.org/doi/pdf/10.1145/1938551.1938560
Unifying nearest neighbors collaborative filtering;https://doi.org/10.1145/2645710.2645732;yes;VRAI;http://arxiv.org/pdf/1212.2251
Increasing the expressivity of conditional functional dependencies without extra complexity;https://doi.org/10.1109/icde.2008.4497461;yes;VRAI;https://dl.acm.org/doi/pdf/10.1145/2594538.2594552
Generating, sampling and counting subclasses of regular tree languages;https://doi.org/10.1145/1938551.1938560;yes;FAUX;
Static analysis of schema-mappings ensuring oblivious termination;https://doi.org/10.1145/1804669.1804695;yes;FAUX;
Querying big data by accessing small data;https://doi.org/10.1145/2745754.2745772;yes;FAUX;
On scale independence for querying big data;https://doi.org/10.1145/2594538.2594552;yes;VRAI;https://dl.acm.org/doi/pdf/10.1145/2745754.2745772?download=true
On the complexity of package recommendation problems;https://doi.org/10.1145/2213556.2213593;yes;VRAI;https://dl.acm.org/action/showFmPdf?doi=10.1145%2F2818362
Complexity and composition of synthesized web services;https://doi.org/10.1145/1376916.1376950;yes;FAUX;
Corporate residence fraud detection;https://doi.org/10.1145/2623330.2623334;yes;FAUX;
Capturing missing tuples and missing values;https://doi.org/10.1145/1807085.1807110;yes;FAUX;
Discovering conditional functional dependencies;https://doi.org/10.1109/icde.2009.209;yes;FAUX;
IAME 2011 contemporary studies on maritime transport in Latin America;https://doi.org/10.1080/03088839.2012.729701;yes;VRAI;http://pdfs.semanticscholar.org/94e9/784d670ac19a19941cf27b003949c6e7eb7a.pdf
Clinical oncology in resource-limited settings;https://doi.org/10.1186/1750-9378-8-40;yes;VRAI;https://repository.uantwerpen.be/docman/irua/e7eea4/139079.pdf
Treatment of breakthrough cancer pain;https://doi.org/10.1185/03007995.2013.837817;yes;FAUX;
Dilemma in metastatic colorectal cancer;https://doi.org/10.1517/14728222.2013.818136;yes;FAUX;
Should apple snail **Pomacea canaliculata** (Caenogastropoda, Ampullariidae) be used as bioindicator for BDE-209?;https://doi.org/10.1007/s11356-013-2109-9;yes;FAUX;
Looking for a new panacea in ALK-rearranged NSCLC;https://doi.org/10.1517/14728222.2014.936384;yes;VRAI;https://repository.uantwerpen.be/docman/irua/96d67a/9118.pdf
Guest editorial;https://doi.org/10.1177/1470357214533448;yes;FAUX;
How to find the Ariadne's thread in the labyrinth of salvage treatment options for metastatic colorectal cancer?;https://doi.org/10.1517/14712598.2014.902927;yes;VRAI;http://eprints.whiterose.ac.uk/87637/3/Aiello%20Pauwels%20Difference%20and%20Globalization.pdf
Memories of cinemagoing and film experience;https://doi.org/10.1177/1750698016670783;yes;VRAI;https://journals.sagepub.com/doi/pdf/10.1177/1750698016670783
On the quality of auxiliary assumptions;https://doi.org/10.1177/0959354316638764;yes;VRAI;https://erj.ersjournals.com/content/erj/38/2/239.full.pdf
Business-to-business marketing and globalization: two of a kind;https://doi.org/10.1108/02651330810904044;yes;VRAI;https://erj.ersjournals.com/content/erj/35/5/945.full.pdf
Holocene comment and reply: the disappearance of **S. imbricatum** from European raised bogs: a comment on McClymont et al.;https://doi.org/10.1177/0959683609345080;no;VRAI;https://erj.ersjournals.com/content/erj/35/5/945.full.pdf
The changing face of respiratory physiology: 20 years of progress within the ERS: Clinical Physiology and Integrative Biology Assembly contribution to the celebration of 20 years of the ERS;https://doi.org/10.1183/09031936.00035310;yes;VRAI;https://erj.ersjournals.com/content/erj/49/3/1602049.full.pdf
Paradigm shifts in lung cancer as defined in the new IASLC/ATS/ERS lung adenocarcinoma classification;https://doi.org/10.1183/09031936.00026711;yes;FAUX;
Assessment of vocational competence in higher education;https://doi.org/10.1080/02602938.2011.581860;yes;VRAI;https://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/1471-2105-11-361
Translational research on prolyl oligopeptidase inhibitors;https://doi.org/10.1517/13543776.2011.587804;yes;VRAI;https://infectagentscancer.biomedcentral.com/track/pdf/10.1186/1750-9378-8-40
Benefits of early hepatitis B immunization programs for newborns and infants;https://doi.org/10.1097/inf.0b013e318173966f;yes;VRAI;http://europepmc.org/articles/pmc3156879?pdf=render
Commentary on Otosclerosis;https://doi.org/10.1177/000348941112000910;yes;FAUX;
Tracers for biogenic secondary organic aerosol from -pinene and related monoterpenes;https://doi.org/10.1007/978-94-007-5034-0_19;no;FAUX;
Impact of fully 4D reconstruction on kinetic parameter estimates;https://doi.org/10.1109/nssmic.2009.5401813;no;FAUX;
Hot recycling of bituminous mixtures;https://doi.org/10.1007/978-94-007-5104-0_8;yes;VRAI;http://www.jbsr.be/articles/10.5334/jbr-btr.955/galley/991/download/
DNA barcoding of amphibians and reptiles;https://doi.org/10.1007/978-1-61779-591-6_6;yes;VRAI;http://www.erudit.org/fr/revues/annuaire/2015-n58-annuaire02870/1038325ar.pdf
