publication_title,doi,data received from unpaywall,No paywall,pdf urls
Trust and discourse,https://doi.org/10.1075/daps.56,,,
The challenge of measuring hunger through survey,https://doi.org/10.1086/686669,yes,True,http://feb.kuleuven.be/drc/licos/publications/dp/DP%20365%20Complete.pdf
Finite difference approximation of hedging quantities in the Heston model,https://doi.org/10.1063/1.4756108,yes,True,https://repository.uantwerpen.be/docman/irua/f8cd2e/105242.pdf
Mind-sets of boundaryless careers in the public sector,https://doi.org/10.1177/0091026014528479,yes,False,No pdf
Assessing indicators of currency crisis in Ethiopia,https://doi.org/10.1111/1467-8268.12148,yes,True,https://mpra.ub.uni-muenchen.de/47151/1/MPRA_paper_47151.pdf
QoE-driven rate adaptation heuristic for fair Adaptive Video Streaming,https://doi.org/10.1145/2818361,yes,True,https://biblio.ugent.be/publication/7235200/file/7235208.pdf
"Diaspora organizations, imagined communities and the versatility of diaspora",https://doi.org/10.1177/1367549414557803,yes,True,https://repository.uantwerpen.be/docman/irua/96d67a/9118.pdf
Sexual harassment,https://doi.org/10.1111/1467-8500.12206,yes,True,https://repository.uantwerpen.be/docman/irua/77aee7/134388_2018_07_01.pdf
Hybridity and the news,https://doi.org/10.1177/1464884916657520,yes,False,No pdf
Japan and international refugee protection norms,https://doi.org/10.1177/0117196815606852,yes,False,No pdf
The impact of multinational enterprises (MNEs) on knowledge-intensive business services (KIBS) start-ups,https://doi.org/10.1080/00343404.2014.932905,yes,False,No pdf
Current-induced birefringent absorption and non-reciprocal plasmons in graphene,https://doi.org/10.1088/2053-1583/3/1/015011,yes,True,
Real-time intraoperative optical coherence tomography imaging confirms older concepts about the Berger space,https://doi.org/10.1159/000446242,yes,False,No pdf
Ab-initio study of the segregation and electronic properties of neutral and charged B and P dopants in Si and  nanowires,https://doi.org/10.1063/1.4930048,yes,True,https://repository.uantwerpen.be/docman/irua/753b8e/128729.pdf
Sharing the silver screen,https://doi.org/10.1177/0974927615586932,yes,False,No pdf
The influence of socio-economic status on mothers' volubility and responsiveness in a monolingual Dutch-speaking sample,https://doi.org/10.1177/0142723716639502,yes,True,http://pdfs.semanticscholar.org/94e9/784d670ac19a19941cf27b003949c6e7eb7a.pdf
Separation of modeling principles and design principles in enterprise engineering,https://doi.org/10.1007/978-3-319-48393-1_28,yes,True,https://hal.inria.fr/hal-01653505/file/416579_1_En_28_Chapter.pdf
Practical tools for implementing early palliative care in advanced lung cancer,https://doi.org/10.1183/13993003.00382-2015,yes,True,https://erj.ersjournals.com/content/erj/47/3/1010.full.pdf
Singular and totally singular unitary spaces,https://doi.org/10.1080/00927872.2014.967353,yes,True,https://repository.uantwerpen.be/docman/irua/303b78/128741.pdf
Defining a standard set of patient-centred outcomes for lung cancer,https://doi.org/10.1183/13993003.02049-2015,yes,True,https://erj.ersjournals.com/content/erj/48/3/852.full.pdf
The importance of realistic dispersal models in conservation planning,https://doi.org/10.1111/1365-2664.12643,yes,True,https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.12643
Regioselective versatility of monooxygenase reactions catalyzed by CYP2B6 and CYP3A4,https://doi.org/10.1007/978-3-319-16009-2_5,yes,False,No pdf
Fast bias field reduction by localized Lloyd-Max quantization,https://doi.org/10.1117/12.770724,yes,False,No pdf
Löwdin correlation energy density of the inhomogeneous electron liquid in some closed-shell molecules at equilibrium geometry,https://doi.org/10.1080/00319100701790069,yes,False,No pdf
Globalization and variants of local adaptation,https://doi.org/10.1177/0268580916662384,yes,True,https://repository.uantwerpen.be/docman/irua/e7eea4/139079.pdf
X-ray scattering factor of the inhomogeneous electron liquid in the ground state of the Ne atom: contribution of the exchange-correlation potential,https://doi.org/10.1080/00319100802239479,yes,False,No pdf
Seeing through the window: pre-fetching strategies for out-of-core image processing algorithms,https://doi.org/10.1117/12.769423,yes,False,No pdf
Flexible network reconstruction from relational databases with Cytoscape and CytoSQL,https://doi.org/10.1186/1471-2105-11-360,yes,True,https://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/1471-2105-11-360
It's all about economics!,https://doi.org/10.1080/03088831003700553,yes,False,No pdf
"Band structure, density of states, and transmission in graphene bilayer superlattices",https://doi.org/10.1063/1.3295550,yes,False,No pdf
Flexible estimation of serial correlation in nonlinear mixed models,https://doi.org/10.1080/02664760902914425,yes,True,https://documentserver.uhasselt.be//bitstream/1942/11050/1/serial15%5b1%5d.pdf
Modified atomic scattering amplitudes and size effects on the 002 and 220 electron structure factors of multiple  quantum wells,https://doi.org/10.1063/1.3115407,yes,False,No pdf
Algorithm 895: a continued fractions package for special functions,https://doi.org/10.1145/1527286.1527289,yes,False,No pdf
Oral health screening,https://doi.org/10.1111/idj.12220,yes,False,No pdf
Le théâtre du réel: une nouvelle vague flamande entre fiction et non-fiction,https://doi.org/10.7202/1038325ar,yes,True,http://www.erudit.org/fr/revues/annuaire/2015-n58-annuaire02870/1038325ar.pdf
Melamineformaldehyde microcapsules,https://doi.org/10.1017/s1431927616012484,yes,True,
Oscillatory persistent currents in quantum rings: semiconductors versus superconductors,https://doi.org/10.1016/j.physc.2010.02.036,yes,False,No pdf
The endovascular treatment of epistaxis,https://doi.org/10.5334/jbr-btr.954,yes,True,http://www.jbsr.be/articles/10.5334/jbr-btr.954/galley/917/download/
Negative magnetoresistance in a  mixed valent vanadate,https://doi.org/10.1063/1.3446892,yes,False,No pdf
Ballistic current in metal-oxide-semiconductor field-effect transistors: the role of device topology,https://doi.org/10.1063/1.3197635,yes,False,No pdf
Revealing age-specific past and future unrelated costs of pneumococcal infections by flexible generalized estimating equations,https://doi.org/10.1080/02664763.2010.515302,yes,False,No pdf
Impact evaluation and interventions to address climate change: a scoping study,https://doi.org/10.1080/19439341003786729,yes,True,https://curis.ku.dk/ws/files/41824362/JDEff_2010_IE_and_CC.pdf
Angular confinement and direction-dependent transmission in graphene nanostructures with magnetic barriers,https://doi.org/10.1063/1.3295453,yes,False,No pdf
Phonon band structures of Si nanowires,https://doi.org/10.1063/1.3295432,yes,True,https://aip.scitation.org/doi/pdf/10.1063/1.3295432
Designing a decision support model for the LNG market,https://doi.org/10.1080/03081060.2010.527183,yes,False,No pdf
"A study of a positive fragment of path queries: expressiveness, normal form, and minimization",https://doi.org/10.1007/978-3-642-02843-4_14,yes,False,No pdf
New challenges for urban social work and urban social work research,https://doi.org/10.1080/13691457.2010.516621,yes,False,No pdf
Evaluation as learning,https://doi.org/10.1080/13691457.2010.520411,yes,False,No pdf
Modularity in enterprise architecture projects,https://doi.org/10.1007/978-3-642-21058-7,yes,False,No pdf
A maximum likelihood estimation method for denoising magnitude MRI using restricted local neighborhood,https://doi.org/10.1117/12.877850,yes,False,No pdf
The labour market consequences of globalisation and regionalisation,https://doi.org/10.1108/01437721111136741,yes,False,No pdf
"Exchange energy density definitions from the optimized exchange-force, exemplified for non-relativistic Ne- and Ar-like atomic ions in the limit of large nuclear charge",https://doi.org/10.1007/s10910-010-9741-z,yes,False,No pdf
Potential of an **in vitro** toolbox combined with exposure data as a first step for the risk assessment of dietary chemical contaminants,https://doi.org/10.1080/19440049.2011.584069,yes,True,https://hal.archives-ouvertes.fr/hal-00719070/file/PEER_stage2_10.1080%252F19440049.2011.584069.pdf
Participatory planning for project sustainability of environmental education projects,https://doi.org/10.1080/13504622.2011.557498,yes,False,No pdf
Polynomial invariants for general higher spin Dirac operators,https://doi.org/10.1063/1.3498060,yes,True,https://repository.uantwerpen.be/docman/irua/aaab98/89652.pdf
Inelastic electron tunneling spectroscopy of  gate stacks,https://doi.org/10.1063/1.3644158,yes,False,No pdf
Youth development and training after the Bosman Verdict (1995) and the Bernard Case (2010) of the European Court of Justice,https://doi.org/10.1080/16184742.2011.624111,yes,False,No pdf
Space charge limited electron emission from a Cu surface under ultrashort pulsed laser irradiation,https://doi.org/10.1063/1.3507129,yes,True,https://repository.uantwerpen.be/docman/irua/4f9cff/88899.pdf
Three-dimensional glenohumeral arthrokinematics related to internal impingement in throwing athletes,https://doi.org/10.1080/17461391003770509,yes,False,No pdf
Walter Benjamin's dialectics of attentiveness,https://doi.org/10.1080/00397709.2011.552847,yes,False,No pdf
Branch current behavior at two level anti-crossings in vertical quantum dot single-particle spectra,https://doi.org/10.1063/1.3295404,yes,True,https://repository.uantwerpen.be/docman/irua/3fbd4d/86923.pdf
Relative information completeness,https://doi.org/10.1145/1559795.1559811,yes,True,https://dl.acm.org/doi/pdf/10.1145/1559795.1559811
Algebraic structures for capturing the provenance of SPARQL queries,https://doi.org/10.1145/2448496.2448516,yes,True,https://hal.inria.fr/hal-01411827/file/a7-geerts.pdf
On the influence of maintenance activity types on the issue resolution time,https://doi.org/10.1145/2639490.2639506,yes,False,No pdf
Determining the currency of data,https://doi.org/10.1145/1989284.1989295,yes,True,https://www.pure.ed.ac.uk/ws/files/17895695/Fan_Geerts_ET_AL_2011_Determining_the_currency_of_data.pdf
Slidecast Yourself: Exploring the Possibilities of a New Online Presentation Tool,https://doi.org/10.1109/ipcc.2010.5530021,yes,False,No pdf
Towards efficient service placement and server selection for large-scale deployments,https://doi.org/10.1109/aict.2008.46,yes,True,https://biblio.ugent.be/publication/419133/file/448402.pdf
Unifying nearest neighbors collaborative filtering,https://doi.org/10.1145/2645710.2645731,yes,False,No pdf
Increasing the expressivity of conditional functional dependencies without extra complexity,https://doi.org/10.1109/icde.2008.4497460,yes,True,https://www.pure.ed.ac.uk/ws/files/17663885/Bravo_Fan_ET_AL_2008_Increasing_the_Expressivity_of_Conditional_Functional_Dependecies_without_Extra_Complexity.pdf
"Generating, sampling and counting subclasses of regular tree languages",https://doi.org/10.1145/1938551.1938559,yes,True,https://documentserver.uhasselt.be//bitstream/1942/11703/1/p30-antonopoulos.pdf
Static analysis of schema-mappings ensuring oblivious termination,https://doi.org/10.1145/1804669.1804694,yes,False,No pdf
Querying big data by accessing small data,https://doi.org/10.1145/2745754.2745771,yes,True,https://dl.acm.org/doi/pdf/10.1145/2745754.2745771
On scale independence for querying big data,https://doi.org/10.1145/2594538.2594551,yes,True,https://dl.acm.org/doi/pdf/10.1145/2594538.2594551
On the complexity of package recommendation problems,https://doi.org/10.1145/2213556.2213592,yes,True,https://dl.acm.org/doi/pdf/10.1145/2213556.2213592
Complexity and composition of synthesized web services,https://doi.org/10.1145/1376916.1376949,yes,True,https://dl.acm.org/doi/pdf/10.1145/1376916.1376949
Corporate residence fraud detection,https://doi.org/10.1145/2623330.2623333,yes,False,No pdf
Capturing missing tuples and missing values,https://doi.org/10.1145/1807085.1807109,yes,True,https://dl.acm.org/doi/pdf/10.1145/2901737
Discovering conditional functional dependencies,https://doi.org/10.1109/icde.2009.208,yes,True,https://www.pure.ed.ac.uk/ws/files/17887344/Fan_Geerts_ET_AL_2009_Discovering_Conditional_Functional_Dependencies.pdf
IAME 2011 contemporary studies on maritime transport in Latin America,https://doi.org/10.1080/03088839.2012.729700,yes,False,No pdf
Clinical oncology in resource-limited settings,https://doi.org/10.1186/1750-9378-8-39,yes,True,https://infectagentscancer.biomedcentral.com/track/pdf/10.1186/1750-9378-8-39
Treatment of breakthrough cancer pain,https://doi.org/10.1185/03007995.2013.837816,yes,False,No pdf
Dilemma in metastatic colorectal cancer,https://doi.org/10.1517/14728222.2013.818135,yes,True,https://www.tandfonline.com/doi/pdf/10.1517/14728222.2013.818135?needAccess=true
"Should apple snail **Pomacea canaliculata** (Caenogastropoda, Ampullariidae) be used as bioindicator for BDE-209?",https://doi.org/10.1007/s11356-013-2109-8,yes,False,No pdf
Looking for a new panacea in ALK-rearranged NSCLC,https://doi.org/10.1517/14728222.2014.936383,yes,True,https://iris.unipa.it/bitstream/10447/99234/1/Ceritinib-Editorial.pdf
Guest editorial,https://doi.org/10.1177/1470357214533448,yes,True,http://eprints.whiterose.ac.uk/87637/3/Aiello%20Pauwels%20Difference%20and%20Globalization.pdf
How to find the Ariadne's thread in the labyrinth of salvage treatment options for metastatic colorectal cancer?,https://doi.org/10.1517/14712598.2014.902926,yes,True,https://iris.unipa.it/bitstream/10447/99246/1/14712598%252E2014%252E902926.pdf
Memories of cinemagoing and film experience,https://doi.org/10.1177/1750698016670783,yes,True,https://journals.sagepub.com/doi/pdf/10.1177/1750698016670783
On the quality of auxiliary assumptions,https://doi.org/10.1177/0959354316638764,yes,False,No pdf
Business-to-business marketing and globalization: two of a kind,https://doi.org/10.1108/02651330810904044,yes,False,No pdf
Holocene comment and reply: the disappearance of **S. imbricatum** from European raised bogs: a comment on McClymont et al.,https://doi.org/10.1177/0959683609345080,yes,False,No pdf
The changing face of respiratory physiology: 20 years of progress within the ERS: Clinical Physiology and Integrative Biology Assembly contribution to the celebration of 20 years of the ERS,https://doi.org/10.1183/09031936.00035310,yes,True,https://erj.ersjournals.com/content/erj/35/5/945.full.pdf
Paradigm shifts in lung cancer as defined in the new IASLC/ATS/ERS lung adenocarcinoma classification,https://doi.org/10.1183/09031936.00026711,yes,True,https://erj.ersjournals.com/content/erj/38/2/239.full.pdf
Assessment of vocational competence in higher education,https://doi.org/10.1080/02602938.2011.581859,yes,False,No pdf
Translational research on prolyl oligopeptidase inhibitors,https://doi.org/10.1517/13543776.2011.587803,yes,False,No pdf
Benefits of early hepatitis B immunization programs for newborns and infants,https://doi.org/10.1097/inf.0b013e318173966f,yes,False,No pdf
Commentary on Otosclerosis,https://doi.org/10.1177/000348941112000910,yes,False,No pdf
Tracers for biogenic secondary organic aerosol from -pinene and related monoterpenes,https://doi.org/10.1007/978-94-007-5034-0_18,yes,False,No pdf
Impact of fully 4D reconstruction on kinetic parameter estimates,https://doi.org/10.1109/nssmic.2009.5401812,yes,False,No pdf
Hot recycling of bituminous mixtures,https://doi.org/10.1007/978-94-007-5104-0_7,yes,False,No pdf
DNA barcoding of amphibians and reptiles,https://doi.org/10.1007/978-1-61779-591-6_5,yes,False,No pdf
